# Original 1999 Pokemon Base Set catalog (102/102).
# number,name,set,near_mint_market_value,rarity,image_url,hp,type
24,Charmeleon,Base Set,2.35,Uncommon,https://images.pokemontcg.io/base1/24.png,80,Fire
25,Dewgong,Base Set,4.19,Uncommon,https://images.pokemontcg.io/base1/25.png,80,Water
26,Dratini,Base Set,3.68,Uncommon,https://images.pokemontcg.io/base1/26.png,40,Colorless
27,Farfetch'd,Base Set,1.53,Uncommon,https://images.pokemontcg.io/base1/27.png,50,Colorless
28,Growlithe,Base Set,1.38,Uncommon,https://images.pokemontcg.io/base1/28.png,60,Fire
29,Haunter,Base Set,2.51,Uncommon,https://images.pokemontcg.io/base1/29.png,60,Psychic
30,Ivysaur,Base Set,6.76,Uncommon,https://images.pokemontcg.io/base1/30.png,60,Grass
31,Jynx,Base Set,0.86,Uncommon,https://images.pokemontcg.io/base1/31.png,70,Psychic
32,Kadabra,Base Set,2.01,Uncommon,https://images.pokemontcg.io/base1/32.png,60,Psychic
33,Kakuna,Base Set,1.30,Uncommon,https://images.pokemontcg.io/base1/33.png,80,Grass
34,Machoke,Base Set,1.13,Uncommon,https://images.pokemontcg.io/base1/34.png,80,Fighting
35,Magikarp,Base Set,4.10,Uncommon,https://images.pokemontcg.io/base1/35.png,30,Water
36,Magmar,Base Set,2.97,Uncommon,https://images.pokemontcg.io/base1/36.png,50,Fire
37,Nidorino,Base Set,3.90,Uncommon,https://images.pokemontcg.io/base1/37.png,60,Grass
38,Poliwhirl,Base Set,1.68,Uncommon,https://images.pokemontcg.io/base1/38.png,60,Water
39,Porygon,Base Set,4.55,Uncommon,https://images.pokemontcg.io/base1/39.png,30,Colorless
40,Raticate,Base Set,3.15,Uncommon,https://images.pokemontcg.io/base1/40.png,60,Colorless
41,Seel,Base Set,1.14,Uncommon,https://images.pokemontcg.io/base1/41.png,60,Water
42,Wartortle,Base Set,5.16,Uncommon,https://images.pokemontcg.io/base1/42.png,70,Water
43,Abra,Base Set,1.34,Common,https://images.pokemontcg.io/base1/43.png,30,Psychic
44,Bulbasaur,Base Set,3.20,Common,https://images.pokemontcg.io/base1/44.png,40,Grass
45,Caterpie,Base Set,1.18,Common,https://images.pokemontcg.io/base1/45.png,40,Grass
46,Charmander,Base Set,2.35,Common,https://images.pokemontcg.io/base1/46.png,50,Fire
47,Diglett,Base Set,1.16,Common,https://images.pokemontcg.io/base1/47.png,30,Fighting
48,Doduo,Base Set,1.19,Common,https://images.pokemontcg.io/base1/48.png,50,Colorless
49,Drowzee,Base Set,0.86,Common,https://images.pokemontcg.io/base1/49.png,50,Psychic
50,Gastly,Base Set,1.04,Common,https://images.pokemontcg.io/base1/50.png,30,Psychic
51,Koffing,Base Set,0.71,Common,https://images.pokemontcg.io/base1/51.png,50,Grass
52,Machop,Base Set,0.49,Common,https://images.pokemontcg.io/base1/52.png,50,Fighting
53,Magnemite,Base Set,0.69,Common,https://images.pokemontcg.io/base1/53.png,40,Lightning
54,Metapod,Base Set,0.81,Common,https://images.pokemontcg.io/base1/54.png,70,Grass
55,Nidoran ♂,Base Set,1.25,Common,https://images.pokemontcg.io/base1/55.png,40,Grass
56,Onix,Base Set,0.76,Common,https://images.pokemontcg.io/base1/56.png,90,Fighting
57,Pidgey,Base Set,1.90,Common,https://images.pokemontcg.io/base1/57.png,40,Colorless
58,Pikachu,Base Set,7.92,Common,https://images.pokemontcg.io/base1/58.png,40,Lightning
59,Poliwag,Base Set,0.77,Common,https://images.pokemontcg.io/base1/59.png,40,Water
60,Ponyta,Base Set,0.69,Common,https://images.pokemontcg.io/base1/60.png,40,Fire
61,Rattata,Base Set,0.76,Common,https://images.pokemontcg.io/base1/61.png,30,Colorless
62,Sandshrew,Base Set,1.14,Common,https://images.pokemontcg.io/base1/62.png,40,Fighting
63,Squirtle,Base Set,6.25,Common,https://images.pokemontcg.io/base1/63.png,40,Water
64,Starmie,Base Set,1.01,Common,https://images.pokemontcg.io/base1/64.png,60,Water
65,Staryu,Base Set,0.66,Common,https://images.pokemontcg.io/base1/65.png,40,Water
66,Tangela,Base Set,1.26,Common,https://images.pokemontcg.io/base1/66.png,50,Grass
67,Voltorb,Base Set,5.08,Common,https://images.pokemontcg.io/base1/67.png,40,Lightning
68,Vulpix,Base Set,0.83,Common,https://images.pokemontcg.io/base1/68.png,50,Fire
69,Weedle,Base Set,0.64,Common,https://images.pokemontcg.io/base1/69.png,40,Grass
70,Clefairy Doll,Base Set,8.85,Rare,https://images.pokemontcg.io/base1/70.png,10,Trainer
71,Computer Search,Base Set,4.28,Rare,https://images.pokemontcg.io/base1/71.png,0,Trainer
72,Devolution Spray,Base Set,6.38,Rare,https://images.pokemontcg.io/base1/72.png,0,Trainer
73,Impostor Professor Oak,Base Set,6.35,Rare,https://images.pokemontcg.io/base1/73.png,0,Trainer
74,Item Finder,Base Set,7.96,Rare,https://images.pokemontcg.io/base1/74.png,0,Trainer
75,Lass,Base Set,3.80,Rare,https://images.pokemontcg.io/base1/75.png,0,Trainer
76,Pokémon Breeder,Base Set,6.66,Rare,https://images.pokemontcg.io/base1/76.png,0,Trainer
77,Pokémon Trader,Base Set,5.65,Rare,https://images.pokemontcg.io/base1/77.png,0,Trainer
78,Scoop Up,Base Set,8.69,Rare,https://images.pokemontcg.io/base1/78.png,0,Trainer
79,Super Energy Removal,Base Set,5.51,Rare,https://images.pokemontcg.io/base1/79.png,0,Trainer
80,Defender,Base Set,1.25,Uncommon,https://images.pokemontcg.io/base1/80.png,0,Trainer
81,Energy Retrieval,Base Set,0.61,Uncommon,https://images.pokemontcg.io/base1/81.png,0,Trainer
82,Full Heal,Base Set,2.02,Uncommon,https://images.pokemontcg.io/base1/82.png,0,Trainer
83,Maintenance,Base Set,2.62,Uncommon,https://images.pokemontcg.io/base1/83.png,0,Trainer
84,PlusPower,Base Set,0.83,Uncommon,https://images.pokemontcg.io/base1/84.png,0,Trainer
85,Pokémon Center,Base Set,1.75,Uncommon,https://images.pokemontcg.io/base1/85.png,0,Trainer
86,Pokémon Flute,Base Set,3.24,Uncommon,https://images.pokemontcg.io/base1/86.png,0,Trainer
87,Pokédex,Base Set,0.56,Uncommon,https://images.pokemontcg.io/base1/87.png,0,Trainer
88,Professor Oak,Base Set,1.85,Uncommon,https://images.pokemontcg.io/base1/88.png,0,Trainer
89,Revive,Base Set,2.57,Uncommon,https://images.pokemontcg.io/base1/89.png,0,Trainer
90,Super Potion,Base Set,0.32,Uncommon,https://images.pokemontcg.io/base1/90.png,0,Trainer
91,Bill,Base Set,0.44,Common,https://images.pokemontcg.io/base1/91.png,0,Trainer
92,Energy Removal,Base Set,0.54,Common,https://images.pokemontcg.io/base1/92.png,0,Trainer
93,Gust of Wind,Base Set,0.37,Common,https://images.pokemontcg.io/base1/93.png,0,Trainer
94,Potion,Base Set,0.32,Common,https://images.pokemontcg.io/base1/94.png,0,Trainer
95,Switch,Base Set,0.38,Common,https://images.pokemontcg.io/base1/95.png,0,Trainer
96,Double Colorless Energy,Base Set,5.24,Uncommon,https://images.pokemontcg.io/base1/96.png,0,Energy
97,Fighting Energy,Base Set,0.43,Energy,https://images.pokemontcg.io/base1/97.png,0,Energy
98,Fire Energy,Base Set,0.47,Energy,https://images.pokemontcg.io/base1/98.png,0,Energy
99,Grass Energy,Base Set,0.39,Energy,https://images.pokemontcg.io/base1/99.png,0,Energy
100,Lightning Energy,Base Set,0.46,Energy,https://images.pokemontcg.io/base1/100.png,0,Energy
101,Psychic Energy,Base Set,0.50,Energy,https://images.pokemontcg.io/base1/101.png,0,Energy
102,Water Energy,Base Set,0.42,Energy,https://images.pokemontcg.io/base1/102.png,0,Energy
